Obtido IP do servidor.
Aberto um novo socket.
Iniciando envio de pacotes...
Iniciando recebimento de pacotes...
Enviado pacote # 849.
Enviado pacote # 850.
Enviado pacote # 851.
Enviado pacote # 852.
Enviado pacote # 853.
Enviado pacote # 854.
Enviado pacote # 855.
Enviado pacote # 856.
Enviado pacote # 857.
Enviado pacote # 858.
Enviado pacote # 859.
Enviado pacote # 860.
Enviado pacote # 861.
Enviado pacote # 862.
Enviado pacote # 863.
Enviado pacote # 864.
Enviado pacote # 865.
Enviado pacote # 866.
Enviado pacote # 867.
Enviado pacote # 868.
Enviado pacote # 869.
Enviado pacote # 870.
Enviado pacote # 871.
Enviado pacote # 872.
Enviado pacote # 873.
Enviado pacote # 874.
Enviado pacote # 875.
Enviado pacote # 876.
Enviado pacote # 877.
Enviado pacote # 878.
Enviado pacote # 879.
Enviado pacote # 880.
Enviado pacote # 881.
Enviado pacote # 882.
Enviado pacote # 883.
Enviado pacote # 884.
Enviado pacote # 885.
Enviado pacote # 886.
Enviado pacote # 887.
Enviado pacote # 888.
Enviado pacote # 889.
Enviado pacote # 890.
Enviado pacote # 891.
Enviado pacote # 892.
Enviado pacote # 893.
Enviado pacote # 894.
Enviado pacote # 895.
Enviado pacote # 896.
Enviado pacote # 897.
Enviado pacote # 898.
Enviado pacote # 899.
Enviado pacote # 900.
Enviado pacote # 901.
Enviado pacote # 902.
Enviado pacote # 903.
Enviado pacote # 904.
Enviado pacote # 905.
Enviado pacote # 906.
Enviado pacote # 907.
Enviado pacote # 908.
Enviado pacote # 909.
Enviado pacote # 910.
Enviado pacote # 911.
Enviado pacote # 912.
Enviado pacote # 913.
Enviado pacote # 914.
Enviado pacote # 915.
Enviado pacote # 916.
Enviado pacote # 917.
Enviado pacote # 918.
Enviado pacote # 919.
Enviado pacote # 920.
Enviado pacote # 921.
Enviado pacote # 922.
Enviado pacote # 923.
Enviado pacote # 924.
Enviado pacote # 925.
Enviado pacote # 926.
Enviado pacote # 927.
Enviado pacote # 928.
Enviado pacote # 929.
Enviado pacote # 9
